img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,table_key
224,G6,34.91627121,32.02520752,28/01/2026,0.066959381,0.8229214,0.061832264,0.8339592,0.8229214,0.88126755,3.070426,table_40_1774186061812414636
224,G7,34.91627121,32.02520752,28/01/2026,0.066959381,0.8648887,0.04780907,0.8785588,0.8648887,0.9292257,3.2439387,table_41_1774186061812415336
224,G8,34.91627121,32.02520752,28/01/2026,0.066959381,0.83865976,0.056231167,0.8509948,0.83865976,0.8872831,3.0921903,table_42_1774186061812415536
224,G9,34.91627121,32.02520752,28/01/2026,0.066959381,0.83358014,0.054800197,0.84781265,0.83358014,0.9645814,3.3718555,table_43_1774186061812415736
224,G10,34.91627121,32.02520752,28/01/2026,0.066959381,0.8055688,0.05999053,0.8143192,0.8055688,0.8738433,3.043565,table_44_1774186061812416036
230,C1,34.91625977,32.02520752,28/01/2026,0.056735992,0.8540912,0.049855676,0.8619139,0.8540912,0.9291668,3.2437253,table_45_1774186061812416236
230,C2,34.91625977,32.02520752,28/01/2026,0.056735992,0.8611999,0.049134176,0.8689648,0.8611999,0.9930271,3.474772,table_46_1774186061812422536
230,C3,34.91625977,32.02520752,28/01/2026,0.056735992,0.8463452,0.046840306,0.8510684,0.8463452,0.9336859,3.2600753,table_47_1774186061812422836
230,C4,34.91625977,32.02520752,28/01/2026,0.056735992,0.8696869,0.053847443,0.8857234,0.8696869,0.94395065,3.2972133,table_48_1774186061812423036
230,C5,34.91625977,32.02520752,28/01/2026,0.056735992,0.87001526,0.046097685,0.88361275,0.87001526,0.9883953,3.4580142,table_49_1774186061812423236
230,C6,34.91625977,32.02520752,28/01/2026,0.056735992,0.7997358,0.06614916,0.79896444,0.7997358,0.86689216,3.018416,table_50_1774186061812423536
230,C7,34.91625977,32.02520752,28/01/2026,0.056735992,0.8246353,0.049420785,0.8359312,0.8246353,0.9295834,3.2452323,table_51_1774186061812423736
230,C8,34.91625977,32.02520752,28/01/2026,0.056735992,0.8163001,0.055494316,0.8306736,0.8163001,0.97007334,3.3917255,table_52_1774186061812423936
230,C9,34.91625977,32.02520752,28/01/2026,0.056735992,0.80962753,0.041161273,0.81759465,0.80962753,0.8295923,2.883465,table_53_1774186061812426436
230,C10,34.91625977,32.02520752,28/01/2026,0.056735992,0.8041617,0.04554617,0.8137732,0.8041617,0.9135734,3.1873085,table_54_1774186061812426736
229,C1,34.91627502,32.02522278,28/01/2026,0.06413269,0.848011,0.049177926,0.8560659,0.848011,1.0110335,3.5399194,table_55_1774186061812426936
229,C2,34.91627502,32.02522278,28/01/2026,0.06413269,0.8612721,0.049128238,0.87108517,0.8612721,0.99688774,3.4887397,table_56_1774186061812427136
229,C3,34.91627502,32.02522278,28/01/2026,0.06413269,0.8440131,0.05169407,0.8504997,0.8440131,1.0103422,3.5374181,table_57_1774186061812427436
229,C4,34.91627502,32.02522278,28/01/2026,0.06413269,0.8746423,0.051557817,0.89220655,0.8746423,0.9658636,3.3764944,table_58_1774186061812427636
229,C5,34.91627502,32.02522278,28/01/2026,0.06413269,0.868982,0.046622284,0.88219166,0.868982,0.96113276,3.3593783,table_59_1774186061812427836
229,C6,34.91627502,32.02522278,28/01/2026,0.06413269,0.81024766,0.06626604,0.813453,0.81024766,0.90406144,3.1528943,table_60_1774186061812428036
229,C7,34.91627502,32.02522278,28/01/2026,0.06413269,0.8298556,0.04808555,0.8407706,0.8298556,0.9019486,3.14525,table_61_1774186061812428336
229,C8,34.91627502,32.02522278,28/01/2026,0.06413269,0.8223691,0.04938208,0.83195233,0.8223691,0.8978551,3.1304395,table_62_1774186061812428536
229,C9,34.91627502,32.02522278,28/01/2026,0.06413269,0.83697456,0.04507291,0.8474476,0.83697456,0.93430984,3.2623332,table_63_1774186061812428736
229,C10,34.91627502,32.02522278,28/01/2026,0.06413269,0.8100265,0.047118317,0.8181132,0.8100265,0.9008636,3.1413243,table_64_1774186061812428936
227,R6,34.91625214,32.02519989,28/01/2026,0.077987671,0.8128147,0.044248525,0.81504947,0.8128147,1.0302992,3.6096227,table_65_1774186061812429736
227,R7,34.91625214,32.02519989,28/01/2026,0.077987671,0.8064529,0.048152052,0.8093207,0.8064529,1.0095671,3.534614,table_66_1774186061812429936
227,R8,34.91625214,32.02519989,28/01/2026,0.077987671,0.8226961,0.039890017,0.8314593,0.8226961,1.0016127,3.505835,table_67_1774186061812430236
227,R9,34.91625214,32.02519989,28/01/2026,0.077987671,0.8235316,0.039944123,0.83471495,0.8235316,0.95244867,3.3279588,table_68_1774186061812430436
227,R10,34.91625214,32.02519989,28/01/2026,0.077987671,0.84318995,0.042576168,0.8572399,0.84318995,1.0207732,3.575157,table_69_1774186061812430636
227,G11,34.91625214,32.02519989,28/01/2026,0.077987671,0.7725416,0.053821553,0.7884653,0.7725416,0.93283063,3.2569814,table_70_1774186061812430836
227,G12,34.91625214,32.02519989,28/01/2026,0.077987671,0.79426044,0.044361353,0.80755585,0.79426044,0.9065653,3.1619532,table_71_1774186061812431036
227,G13,34.91625214,32.02519989,28/01/2026,0.077987671,0.7571138,0.049081612,0.7586031,0.7571138,0.8554227,2.9769192,table_72_1774186061812431336
227,G14,34.91625214,32.02519989,28/01/2026,0.077987671,0.77445227,0.04598163,0.7871858,0.77445227,0.95799863,3.3480387,table_73_1774186061812431536
227,G15,34.91625214,32.02519989,28/01/2026,0.077987671,0.77439964,0.042526074,0.7820671,0.77439964,0.9492447,3.316367,table_74_1774186061812431736
227,R11,34.91625214,32.02519989,28/01/2026,0.077987671,0.8012929,0.03587381,0.80679846,0.8012929,0.9848334,3.445127,table_75_1774186061812431936
227,R12,34.91625214,32.02519989,28/01/2026,0.077987671,0.8121705,0.039846253,0.8235704,0.8121705,0.92620635,3.233014,table_76_1774186061812432136
227,R13,34.91625214,32.02519989,28/01/2026,0.077987671,0.81027484,0.03541869,0.8158574,0.81027484,1.0358365,3.629656,table_77_1774186061812433136
227,R14,34.91625214,32.02519989,28/01/2026,0.077987671,0.80973494,0.03904448,0.81166464,0.80973494,0.9812729,3.432246,table_78_1774186061812433436
227,R15,34.91625214,32.02519989,28/01/2026,0.077987671,0.81207937,0.043005787,0.82479024,0.81207937,0.9466626,3.3070254,table_79_1774186061812433636
