img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean
218,R1,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.7930494,0.06039942,0.79696465,0.7930494,0.9516025,3.324898
218,R2,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.77532786,0.058878858,0.79050577,0.77532786,0.9089279,3.170501
218,R3,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.7685651,0.050750777,0.77761066,0.7685651,0.96964216,3.3901656
218,R4,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.7828807,0.057282608,0.79040295,0.7828807,0.907219,3.1643186
218,R5,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.762636,0.05668605,0.77850974,0.762636,0.9242092,3.2257888
218,R6,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.7344537,0.05290915,0.7322167,0.7344537,0.96537006,3.374709
218,R7,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.7786799,0.061071634,0.7990217,0.7786799,0.9110053,3.1780171
218,R8,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.79783356,0.044268485,0.80886227,0.79783356,0.92686695,3.2354047
218,R9,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.75959563,0.049455598,0.7672101,0.75959563,0.9027713,3.1482267
218,R10,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.7797032,0.059919033,0.78536373,0.7797032,0.91017675,3.1750197
218,R11,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.7810798,0.04553015,0.7902484,0.7810798,0.9342742,3.2622042
218,R12,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.7402945,0.047474388,0.745268,0.7402945,0.9565528,3.342808
218,R13,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.76712203,0.06330648,0.7814717,0.76712203,0.8967751,3.1265326
218,R14,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.7593114,0.05072522,0.76969606,0.7593114,0.8923414,3.1104908
218,R15,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.80314153,0.04973543,0.80890566,0.80314153,0.9723844,3.4000864
218,G1,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.76630574,0.051493373,0.77250665,0.76630574,0.8900587,3.1022327
218,G2,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.746306,0.05175832,0.75646484,0.746306,0.8485221,2.951953
218,G3,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.74143994,0.049102373,0.751174,0.74143994,0.889003,3.0984128
218,G4,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.76344043,0.047007717,0.7736569,0.76344043,0.9179669,3.2032044
218,G5,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.69942576,0.054139346,0.6995593,0.69942576,0.8577866,2.985472
218,G6,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.7378816,0.061719235,0.73162496,0.7378816,0.9313085,3.2514741
218,G7,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.73231274,0.0526296,0.74375564,0.73231274,0.7939491,2.7545078
218,G8,34.91628265,32.02518463,21-01-2026,0.17962265014648438,0.70105207,0.042677514,0.6999274,0.70105207,0.8035778,2.7893443
