img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
242,C1,34.91627884,32.02523041,04-01-2026,0.1216316223144531,0.8907857,0.049238473,0.9056537,0.8907857,1.020209,3.5731163,RED_Control_ids,RED,0.46,0.03,1.0863,0.8226,0.206,0.881,05/02/2026,Control-Sun
242,C2,34.91627884,32.02523041,04-01-2026,0.1216316223144531,0.88832456,0.043603323,0.9014653,0.88832456,1.0106121,3.5383947,RED_Control_ids,RED,0.35,0.03,1.1237,0.7602,0.19,0.934,05/02/2026,Control-Sun
242,C3,34.91627884,32.02523041,04-01-2026,0.1216316223144531,0.8882397,0.03757166,0.8988816,0.8882397,0.9604126,3.3567734,RED_Control_ids,RED,0.38,0.03,1.0479,0.602,0.151,0.897,05/02/2026,Control-Sun
242,C4,34.91627884,32.02523041,04-01-2026,0.1216316223144531,0.88288516,0.049142458,0.8998172,0.88288516,0.8888777,3.0979595,RED_Control_ids,RED,0.42,0.03,0.9242,0.6501,0.163,0.762,05/02/2026,Control-Sun
242,C5,34.91627884,32.02523041,04-01-2026,0.1216316223144531,0.86545056,0.038452387,0.87580967,0.86545056,1.0086154,3.531171,RED_Control_ids,RED,0.48,0.03,1.1697,0.649,0.162,1.007,05/02/2026,Control-Sun
242,C6,34.91627884,32.02523041,04-01-2026,0.1216316223144531,0.7949171,0.050457966,0.79202974,0.7949171,0.90706176,3.1637495,GREEN_Control_ids,GREEN,0.8,0.03,0.1936,0.5964,0.149,0.045,05/02/2026,Control-Sun
242,C7,34.91627884,32.02523041,04-01-2026,0.1216316223144531,0.8263328,0.057421748,0.8350091,0.8263328,0.9408076,3.2858417,GREEN_Control_ids,GREEN,1.62,0.03,0.1823,0.5704,0.143,0.04,05/02/2026,Control-Sun
242,C8,34.91627884,32.02523041,04-01-2026,0.1216316223144531,0.8279758,0.04165184,0.825488,0.8279758,0.94384354,3.296826,GREEN_Control_ids,GREEN,0.78,0.03,0.1946,0.5716,0.143,0.052,05/02/2026,Control-Sun
242,C9,34.91627884,32.02523041,04-01-2026,0.1216316223144531,0.849236,0.049021013,0.8572737,0.849236,0.8847711,3.083102,GREEN_Control_ids,GREEN,1.54,0.03,0.2088,0.6476,0.162,0.047,05/02/2026,Control-Sun
242,C10,34.91627884,32.02523041,04-01-2026,0.1216316223144531,0.80843997,0.04342945,0.8091147,0.80843997,0.8889258,3.0981336,GREEN_Control_ids,GREEN,1.46,0.03,0.2559,0.748,0.187,0.069,05/02/2026,Control-Sun
235,R10,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.86897236,0.03744733,0.8707795,0.86897236,1.155264,4.061745,RED_white_led_ids,RED,0.31,0.03,1.7297,1.118,0.28,1.45,05/02/2026,White LED
235,R9,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.8663893,0.0429221,0.8740772,0.8663893,1.1283627,3.9644163,RED_white_led_ids,RED,0.39,0.03,1.3738,0.9998,0.25,1.124,05/02/2026,White LED
235,R8,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.8773397,0.042314608,0.8797624,0.8773397,1.0979763,3.8544788,RED_white_led_ids,RED,0.75,0.03,1.318,1.0201,0.255,1.063,05/02/2026,White LED
235,R7,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.8795524,0.048920564,0.8907942,0.8795524,1.1457843,4.0274477,RED_white_led_ids,RED,0.6,0.03,1.0198,1.1908,0.298,0.722,05/02/2026,White LED
235,R6,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.8719892,0.04345795,0.8782326,0.8719892,1.1589857,4.07521,RED_white_led_ids,RED,0.41,0.03,1.0707,0.9849,0.246,0.824,05/02/2026,White LED
235,G5,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.8582072,0.040227212,0.8637876,0.8582072,1.0763044,3.7760694,GREEN_white_blue_led_ids,GREEN,0.93,0.03,0.2541,0.8175,0.204,0.05,05/02/2026,White+Blue LED
235,G4,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.8406359,0.049433783,0.8439788,0.8406359,1.0015453,3.5055912,GREEN_white_blue_led_ids,GREEN,1.02,0.03,0.623,1.601,0.4,0.223,05/02/2026,White+Blue LED
235,R5,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.88561606,0.04182652,0.89506316,0.88561606,1.0656788,3.737626,RED_white_blue_led_ids,RED,0.35,0.03,1.2819,0.8524,0.213,1.069,05/02/2026,White+Blue LED
235,G1,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.8493642,0.039978545,0.85513246,0.8493642,1.0304863,3.6102996,GREEN_white_blue_led_ids,GREEN,1.85,0.03,0.3696,1.2684,0.317,0.053,05/02/2026,White+Blue LED
235,G2,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.85588455,0.060547,0.8719691,0.85588455,1.0333548,3.6206772,GREEN_white_blue_led_ids,GREEN,1.77,0.03,0.3599,1.2457,0.311,0.048,05/02/2026,White+Blue LED
235,G3,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.8589338,0.05889291,0.8756249,0.8589338,1.0034014,3.512306,GREEN_white_blue_led_ids,GREEN,1.93,0.03,0.3238,1.0911,0.273,0.051,05/02/2026,White+Blue LED
235,R1,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.89261085,0.041023888,0.90212506,0.89261085,1.0411165,3.6487594,RED_white_blue_led_ids,RED,0.41,0.03,1.172,0.676,0.169,1.003,05/02/2026,White+Blue LED
235,R2,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.88958025,0.039171334,0.8962745,0.88958025,1.0560663,3.7028477,RED_white_blue_led_ids,RED,0.77,0.03,0.7968,1.0202,0.255,0.542,05/02/2026,White+Blue LED
235,R3,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.89133877,0.04287496,0.90122104,0.89133877,1.081096,3.7934053,RED_white_blue_led_ids,RED,0.81,0.03,0.9161,1.0121,0.253,0.663,05/02/2026,White+Blue LED
235,R4,34.91625595,32.02522278,04-01-2026,0.2040939331054687,0.8858551,0.05179087,0.9010092,0.8858551,1.0474112,3.6715336,RED_white_blue_led_ids,RED,0.33,0.03,0.893,0.9543,0.239,0.654,05/02/2026,White+Blue LED
238,G13,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.7892759,0.05441633,0.79443145,0.7892759,0.83985984,2.9206128,GREEN_Shade_ids,GREEN,1.36,0.03,0.187,0.5587,0.14,0.047,05/02/2026,Shade
238,G14,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.8307431,0.04939402,0.8381742,0.8307431,0.9439103,3.2970676,GREEN_Shade_ids,GREEN,0.47,0.03,0.1743,0.5371,0.134,0.04,05/02/2026,Shade
238,G15,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.84957623,0.04560337,0.8554959,0.84957623,0.8779975,3.058595,GREEN_Shade_ids,GREEN,0.7,0.03,0.1915,0.5727,0.143,0.048,05/02/2026,Shade
238,R14,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.89608103,0.044556122,0.91163975,0.89608103,0.9953109,3.483035,RED_Shade_ids,RED,0.3,0.03,1.3747,0.9608,0.24,1.135,05/02/2026,Shade
238,R15,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.8935184,0.040335387,0.9045804,0.8935184,1.007713,3.527905,RED_Shade_ids,RED,0.29,0.03,1.8254,0.9992,0.25,1.576,05/02/2026,Shade
238,G11,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.81618255,0.052937552,0.8181513,0.81618255,0.87282926,3.0398962,GREEN_Shade_ids,GREEN,1.06,0.03,0.1828,0.5592,0.14,0.043,05/02/2026,Shade
238,G12,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.8028203,0.06135882,0.812809,0.8028203,0.8156696,2.8330925,GREEN_Shade_ids,GREEN,0.76,0.03,0.1959,0.626,0.157,0.039,05/02/2026,Shade
238,G10,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.84627396,0.05407225,0.85758483,0.84627396,0.95602024,3.340881,GREEN_white_led_ids,GREEN,1.99,0.03,0.2218,0.7207,0.18,0.042,05/02/2026,White LED
238,R11,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.89327556,0.03783069,0.9046529,0.89327556,1.0021676,3.5078425,RED_Shade_ids,RED,0.35,0.03,1.3303,1.1203,0.28,1.05,05/02/2026,Shade
238,R12,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.8991073,0.038640868,0.91145605,0.8991073,0.97906893,3.4242713,RED_Shade_ids,RED,0.51,0.03,0.7855,1.1492,0.287,0.498,05/02/2026,Shade
238,R13,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.8999719,0.042062197,0.9139263,0.8999719,0.91318536,3.1859045,RED_Shade_ids,RED,0.33,0.03,1.6396,0.9694,0.242,1.397,05/02/2026,Shade
238,G6,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.84001327,0.072856985,0.8570787,0.84001327,0.9352819,3.2658498,GREEN_white_led_ids,GREEN,2.26,0.03,0.3094,1.0511,0.263,0.047,05/02/2026,White LED
238,G7,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.85213125,0.04933205,0.8622043,0.85213125,1.0063045,3.5228097,GREEN_white_led_ids,GREEN,1.98,0.03,0.2159,0.6812,0.17,0.046,05/02/2026,White LED
238,G8,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.85274136,0.045282546,0.8565773,0.85274136,0.96420074,3.3704789,GREEN_white_led_ids,GREEN,1.96,0.03,0.2167,0.7025,0.176,0.041,05/02/2026,White LED
238,G9,34.91626358,32.02522278,04-01-2026,0.1739349365234375,0.8466325,0.05226156,0.8521811,0.8466325,0.9427925,3.2930229,GREEN_white_led_ids,GREEN,1.44,0.03,0.2669,0.8607,0.215,0.052,05/02/2026,White LED
244,C1,34.91630554,32.02526855,04-01-2026,0.1222572326660156,0.90530443,0.03829347,0.9171012,0.90530443,1.0491754,3.6779163,RED_Control_ids,RED,0.46,0.03,1.0863,0.8226,0.206,0.881,05/02/2026,Control-Sun
244,C2,34.91630554,32.02526855,04-01-2026,0.1222572326660156,0.9008645,0.03879003,0.91119933,0.9008645,1.0957704,3.8464968,RED_Control_ids,RED,0.35,0.03,1.1237,0.7602,0.19,0.934,05/02/2026,Control-Sun
244,C3,34.91630554,32.02526855,04-01-2026,0.1222572326660156,0.8919072,0.040172614,0.90386826,0.8919072,1.1223557,3.9426827,RED_Control_ids,RED,0.38,0.03,1.0479,0.602,0.151,0.897,05/02/2026,Control-Sun
244,C4,34.91630554,32.02526855,04-01-2026,0.1222572326660156,0.892033,0.05624618,0.9132321,0.892033,1.0877982,3.817654,RED_Control_ids,RED,0.42,0.03,0.9242,0.6501,0.163,0.762,05/02/2026,Control-Sun
244,C5,34.91630554,32.02526855,04-01-2026,0.1222572326660156,0.87668455,0.038778655,0.88429743,0.87668455,1.0809959,3.7930431,RED_Control_ids,RED,0.48,0.03,1.1697,0.649,0.162,1.007,05/02/2026,Control-Sun
244,C6,34.91630554,32.02526855,04-01-2026,0.1222572326660156,0.8005171,0.056541014,0.7998192,0.8005171,1.0382966,3.6385572,GREEN_Control_ids,GREEN,0.8,0.03,0.1936,0.5964,0.149,0.045,05/02/2026,Control-Sun
244,C7,34.91630554,32.02526855,04-01-2026,0.1222572326660156,0.8339661,0.06060968,0.84590304,0.8339661,1.1108857,3.901185,GREEN_Control_ids,GREEN,1.62,0.03,0.1823,0.5704,0.143,0.04,05/02/2026,Control-Sun
