img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
218,G10,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.72897905,0.04355766,0.73646104,0.72897905,0.8930633,3.1131032,GREEN_white_led_ids,GREEN,1.53,0.03,0.13,0.3798,0.095,0.035,17/12/2025,White LED
218,G11,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.7525306,0.045395542,0.7563873,0.7525306,0.9176027,3.2018867,GREEN_Shade_ids,GREEN,0.88,0.03,0.1282,0.3164,0.079,0.049,17/12/2025,Shade
218,G12,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.7439091,0.052186973,0.74727595,0.7439091,0.9071894,3.1642113,GREEN_Shade_ids,GREEN,0.72,0.03,0.1259,0.3516,0.088,0.038,17/12/2025,Shade
218,G13,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.73583716,0.042812694,0.74134916,0.73583716,0.8588545,2.9893353,GREEN_Shade_ids,GREEN,0.76,0.03,0.1122,0.2965,0.074,0.038,17/12/2025,Shade
218,G14,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.73665774,0.05295411,0.7306328,0.73665774,0.8871996,3.0918877,GREEN_Shade_ids,GREEN,0.49,0.03,0.1265,0.3537,0.088,0.038,17/12/2025,Shade
218,G15,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.70455635,0.044275064,0.70883536,0.70455635,0.90234375,3.1466794,GREEN_Shade_ids,GREEN,0.7,0.03,0.1363,0.3911,0.098,0.039,17/12/2025,Shade
218,C6,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.736625,0.046651997,0.7352334,0.736625,0.87983567,3.0652456,GREEN_Control_ids,GREEN,0.66,0.03,0.1153,0.2914,0.073,0.042,17/12/2025,Control-Sun
218,C7,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.7656443,0.048908703,0.7762716,0.7656443,0.911077,3.1782763,GREEN_Control_ids,GREEN,1.75,0.03,0.1715,0.4975,0.124,0.047,17/12/2025,Control-Sun
218,C8,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.7400077,0.04592358,0.7413084,0.7400077,0.8847122,3.0828888,GREEN_Control_ids,GREEN,0.9,0.03,0.1173,0.3287,0.082,0.035,17/12/2025,Control-Sun
218,C9,34.91628265,32.02518463,21-01-2026,0.1796226501464843,0.75643504,0.07271754,0.7794566,0.75643504,0.8829686,3.0765803,GREEN_Control_ids,GREEN,0.67,0.03,0.1455,0.3441,0.086,0.059,17/12/2025,Control-Sun
