img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
168,R1,34.91623306,32.02518082,09-12-2025,0.1775245666503906,0.86207247,0.050086655,0.8707371,0.86207247,1.0062412,3.5225806,RED_white_blue_led_ids,RED,0.27,0.03,0.5207,0.7561,0.189,0.332,09/12/2025,White+Blue LED
168,G1,34.91623306,32.02518082,09-12-2025,0.1775245666503906,0.8347848,0.042716656,0.8357835,0.8347848,1.0505619,3.6829329,GREEN_white_blue_led_ids,GREEN,0.72,0.03,0.1561,0.4924,0.123,0.033,09/12/2025,White+Blue LED
168,R6,34.91623306,32.02518082,09-12-2025,0.1775245666503906,0.85867345,0.045389816,0.8591119,0.85867345,1.0337101,3.6219633,RED_white_led_ids,RED,0.2,0.03,0.5122,0.4783,0.12,0.393,09/12/2025,White LED
168,G6,34.91623306,32.02518082,09-12-2025,0.1775245666503906,0.83356005,0.038834795,0.83282495,0.83356005,1.0503538,3.68218,GREEN_white_led_ids,GREEN,0.37,0.03,0.1512,0.4618,0.115,0.036,09/12/2025,White LED
168,R11,34.91623306,32.02518082,09-12-2025,0.1775245666503906,0.85672736,0.042998478,0.864744,0.85672736,1.004098,3.514827,RED_Shade_ids,RED,0.28,0.03,0.3036,0.5977,0.149,0.202,09/12/2025,Shade
168,G11,34.91623306,32.02518082,09-12-2025,0.1775245666503906,0.8440383,0.039780453,0.85064703,0.8440383,0.9992706,3.4973612,GREEN_Shade_ids,GREEN,0.37,0.03,0.1574,0.4992,0.125,0.033,09/12/2025,Shade
168,C1,34.91623306,32.02518082,09-12-2025,0.1775245666503906,0.869067,0.043433215,0.8769379,0.869067,1.0171924,3.562202,RED_Control_ids,RED,0.23,0.03,0.5577,0.6355,0.159,0.399,09/12/2025,Control-Sun
168,C6,34.91623306,32.02518082,09-12-2025,0.1775245666503906,0.82127523,0.039544355,0.8179203,0.82127523,1.0250398,3.5905943,GREEN_Control_ids,GREEN,0.18,0.03,0.1231,0.3403,0.085,0.038,09/12/2025,Control-Sun
175,R1,34.91620636,32.02514648,09-12-2025,0.1596908569335937,0.85688215,0.0513084,0.8668662,0.85688215,1.0078468,3.52839,RED_white_blue_led_ids,RED,0.27,0.03,0.5207,0.7561,0.189,0.332,09/12/2025,White+Blue LED
175,G1,34.91620636,32.02514648,09-12-2025,0.1596908569335937,0.83129746,0.037847992,0.83016515,0.83129746,1.0402417,3.6455946,GREEN_white_blue_led_ids,GREEN,0.72,0.03,0.1561,0.4924,0.123,0.033,09/12/2025,White+Blue LED
175,R6,34.91620636,32.02514648,09-12-2025,0.1596908569335937,0.85822517,0.041706223,0.8639939,0.85822517,1.0497478,3.6799874,RED_white_led_ids,RED,0.2,0.03,0.5122,0.4783,0.12,0.393,09/12/2025,White LED
175,G6,34.91620636,32.02514648,09-12-2025,0.1596908569335937,0.83248526,0.03598387,0.8330842,0.83248526,1.0207083,3.5749228,GREEN_white_led_ids,GREEN,0.37,0.03,0.1512,0.4618,0.115,0.036,09/12/2025,White LED
