label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,huePlantMean,satPlantMean,valPlantMean,huePlantStd,satPlantStd,valPlantStd,huePlantMedian,satPlantMedian,valPlantMedian,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
C8,254,1360,1298,1377,20251203_130814.jpg,1800,4000,0.22397422,0.66082324,0.555982517,0.020725079,0.088194582,0.079173524,0.223856209,0.650306748,0.568627451,GREEN_Control_ids,GREEN,0.23,0.03,0.1447,0.0786,0.02,0.125,2025-12-05,Control-Sun
R5,219,50,1698,1517,20251207_141906.jpg,2992,2992,0.1375762056068254,0.3642247788033957,0.2415347543498912,0.0492828625638711,0.1248291985382418,0.0528924946494436,0.1416666666666667,0.3698630136986301,0.2431372549019607,RED_white_blue_led_ids,RED,0.27,0.03,0.5661,0.7224,0.181,0.386,2025-12-09,White+Blue LED
R14,54,486,1657,1508,20251207_145219.jpg,2992,2992,0.1668697952411095,0.8487287740382382,0.2901389426886674,0.019226420192493,0.1854758716883255,0.0768782243372233,0.1695906432748538,0.9375,0.2901960784313725,RED_Shade_ids,RED,0.21,0.03,0.3723,0.6947,0.174,0.199,2025-12-09,Shade
R15,359,0,1648,1442,20251207_145303.jpg,2992,2992,0.1566565484258959,0.8214710481143025,0.2742996832145667,0.0297514402165845,0.2225921714379991,0.0779617202632515,0.1641414141414141,0.9444444444444444,0.2666666666666666,RED_Shade_ids,RED,0.28,0.03,0.4984,0.7101,0.178,0.321,2025-12-09,Shade
G11,293,58,1772,2242,20251207_145551.jpg,2992,2992,0.1946067075874325,0.968751604704295,0.4197457129549041,0.0188616409610509,0.0880197059485756,0.0644530800862401,0.1898148148148148,1.0,0.4235294117647059,GREEN_Shade_ids,GREEN,0.37,0.03,0.1574,0.4992,0.125,0.033,2025-12-09,Shade
G12,227,82,1813,1888,20251207_145825.jpg,2992,2992,0.1915354512804921,0.9743216839118088,0.412697001571076,0.0168719003851319,0.0779691100973,0.0715580901017524,0.1908831908831908,1.0,0.4196078431372549,GREEN_Shade_ids,GREEN,0.23,0.03,0.1262,0.3416,0.085,0.041,2025-12-09,Shade
G13,318,198,2118,1962,20251207_145911.jpg,2992,2992,0.194364498726588,0.9707528696540204,0.4427942103474737,0.0168524649312649,0.0795150735922686,0.0778047226165415,0.1907051282051282,1.0,0.4470588235294117,GREEN_Shade_ids,GREEN,0.61,0.03,0.1371,0.4183,0.105,0.033,2025-12-09,Shade
G14,104,0,2052,2118,20251207_150011.jpg,2992,2992,0.1917364763107008,0.9683902101476232,0.4875736915056696,0.0144888880517261,0.0829931453866066,0.0692928483382252,0.1888888888888888,1.0,0.4980392156862745,GREEN_Shade_ids,GREEN,0.27,0.03,0.151,0.4341,0.109,0.042,2025-12-09,Shade
G15,244,338,1838,1986,20251207_150059.jpg,2992,2992,0.1907787253687566,0.9892998766737652,0.3769155482491105,0.0166820493582207,0.0474222167902259,0.0633041591609638,0.1888888888888888,1.0,0.3803921568627451,GREEN_Shade_ids,GREEN,0.25,0.03,0.1385,0.4195,0.105,0.034,2025-12-09,Shade
C1,549,379,1500,1508,20251207_150459.jpg,2992,2992,0.1214737817145325,0.7158777169751445,0.287638607431092,0.0268212355876869,0.1931526995129373,0.0906547999403407,0.1202185792349726,0.6842105263157895,0.2941176470588235,RED_Control_ids,RED,0.23,0.03,0.5577,0.6355,0.159,0.399,2025-12-09,Control-Sun
C2,62,371,2019,1797,20251207_150611.jpg,2992,2992,0.1052845047491469,0.6594177048636959,0.30411774350118,0.0196658333913223,0.1969982996851111,0.0994284736922541,0.1031746031746031,0.6129032258064516,0.3137254901960784,RED_Control_ids,RED,0.25,0.03,0.7991,0.662,0.166,0.634,2025-12-09,Control-Sun
C3,400,264,1838,1764,20251207_150705.jpg,2992,2992,0.1170822218979846,0.7114929879083036,0.2489358088201035,0.0202016558321146,0.2049005953969179,0.0841659399815454,0.119047619047619,0.676923076923077,0.2509803921568627,RED_Control_ids,RED,0.28,0.03,0.5859,0.6995,0.175,0.411,2025-12-09,Control-Sun
C4,442,462,1640,1591,20251207_150755.jpg,2992,2992,0.0976245837192559,0.7185934626275914,0.2239483639531265,0.0244010694657198,0.2035253448434764,0.0765803286444103,0.09375,0.7115384615384615,0.2156862745098039,RED_Control_ids,RED,0.2,0.03,0.8798,0.703,0.176,0.704,2025-12-09,Control-Sun
C5,211,140,1929,1879,20251207_150851.jpg,2992,2992,0.1113918272586247,0.6564774013945482,0.2713892227717957,0.0303058260690832,0.2165628767965056,0.089452747322499,0.1122448979591836,0.6136363636363636,0.2784313725490196,RED_Control_ids,RED,0.21,0.03,1.0127,0.5168,0.129,0.884,2025-12-09,Control-Sun
C6,499,74,1838,1797,20251207_151126.jpg,2992,2992,0.1827661118365557,0.973928848700316,0.4179193184561418,0.0163983158581717,0.0756449583162152,0.0780908224244873,0.1791666666666666,1.0,0.4235294117647059,GREEN_Control_ids,GREEN,0.18,0.03,0.1231,0.3403,0.085,0.038,2025-12-09,Control-Sun
C7,21,322,1756,1789,20251207_151213.jpg,2992,2992,0.1859152625680741,0.9493199671807264,0.3964883845568394,0.0181807534276035,0.1007326861016444,0.0837672531601816,0.1797101449275362,1.0,0.403921568627451,GREEN_Control_ids,GREEN,0.28,0.03,0.1236,0.3673,0.092,0.032,2025-12-09,Control-Sun
