Lettuce color,catalog id,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
RED,R1,0.16,0.03,0.0361,0.5897,0.147,-0.111,29/01/2026,White+Blue LED
RED,R2,0.31,0.03,0.9322,0.8433,0.211,0.721,29/01/2026,White+Blue LED
RED,R3,0.27,0.03,1.0894,0.7536,0.188,0.901,29/01/2026,White+Blue LED
RED,R4,0.17,0.03,1.1410,0.4633,0.116,1.025,29/01/2026,White+Blue LED
RED,R5,0.24,0.03,0.9879,0.6451,0.161,0.827,29/01/2026,White+Blue LED
RED,R6,0.26,0.03,1.1732,0.7997,0.200,0.973,29/01/2026,White LED
RED,R7,0.31,0.03,1.2289,0.7585,0.190,1.039,29/01/2026,White LED
RED,R8,0.29,0.03,1.2612,0.8322,0.208,1.053,29/01/2026,White LED
RED,R9,0.28,0.03,1.0791,0.7360,0.184,0.895,29/01/2026,White LED
RED,R10,0.26,0.03,1.0864,0.7774,0.194,0.892,29/01/2026,White LED
RED,R11,0.18,0.03,0.6393,0.6194,0.155,0.531,29/01/2026,Shade
RED,R12,0.23,0.03,0.6855,0.4801,0.120,0.838,29/01/2026,Shade
RED,R13,0.21,0.03,0.9584,0.5563,0.139,0.871,29/01/2026,Shade
RED,R14,0.24,0.03,1.0099,0.5701,0.143,0.867,29/01/2026,Shade
GREEN,G1,0.49,0.03,0.2188,0.6298,0.157,0.061,29/01/2026,White+Blue LED
GREEN,G2,0.26,0.03,0.3304,0.5774,0.144,0.186,29/01/2026,White+Blue LED
GREEN,G3,0.57,0.03,0.2228,0.6673,0.167,0.056,29/01/2026,White+Blue LED
GREEN,G4,0.83,0.03,0.2203,0.6800,0.170,0.050,29/01/2026,White+Blue LED
GREEN,G6,0.43,0.03,0.2088,0.6699,0.167,0.041,29/01/2026,White LED
GREEN,G7,0.78,0.03,0.2685,0.8380,0.210,0.059,29/01/2026,White LED
GREEN,G8,0.81,0.03,0.1776,0.5442,0.136,0.042,29/01/2026,White LED
GREEN,G9,1.43,0.03,0.2185,0.6846,0.171,0.459,29/01/2026,White LED
GREEN,G10,0.74,0.03,0.1685,0.5043,0.126,0.451,29/01/2026,White LED
GREEN,G11,0.36,0.03,0.1727,0.4429,0.111,0.557,29/01/2026,Shade
GREEN,G12,0.62,0.03,0.1768,0.5643,0.141,0.539,29/01/2026,Shade
GREEN,G13,0.57,0.03,0.1475,0.4220,0.106,-0.106,29/01/2026,Shade
GREEN,G14,0.51,0.03,0.1684,0.4839,0.121,0.549,29/01/2026,Shade
GREEN,G15,0.6,0.03,0.1852,0.5041,0.126,0.712,29/01/2026,Shade
RED,C1,0.31,0.03,1.2705,0.7285,0.182,1.088,29/01/2026,Control-Sun
RED,C2,0.28,0.03,1.1824,0.8060,0.202,0.981,29/01/2026,Control-Sun
RED,C3,0.33,0.03,1.2156,0.6871,0.172,1.044,29/01/2026,Control-Sun
RED,C4,0.2,0.03,1.0981,0.7113,0.178,0.920,29/01/2026,Control-Sun
RED,C5,0.51,0.03,1.1935,0.7553,0.189,1.005,29/01/2026,Control-Sun
GREEN,C6,0.73,0.03,0.1348,0.3783,0.095,0.040,29/01/2026,Control-Sun
GREEN,C7,0.46,0.03,0.1764,0.4966,0.124,0.052,29/01/2026,Control-Sun
GREEN,C8,0.71,0.03,0.1768,0.5514,0.138,0.039,29/01/2026,Control-Sun
GREEN,C9,0.84,0.03,0.1991,0.5921,0.148,0.051,29/01/2026,Control-Sun
GREEN,C10,0.77,0.03,0.1586,0.4756,0.119,0.040,29/01/2026,Control-Sun
