label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,valPlantMean,satPlantMean,huePlantMean,plantBinImg,category,catalog id,color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin
R1,524,74,2077,2201,20251225_105832.jpg,2992,2992,0.4098671059537283,0.6977338488996548,0.1680800796950847,,RED_white_blue_led_ids,R1,R,1.19,0.03,0.4624,0.7665,0.192,0.271
R2,244,0,2366,2225,20251225_105858.jpg,2992,2992,0.4228712466908341,0.6740238525671879,0.1726859868190855,,RED_white_blue_led_ids,R2,R,1.33,0.03,0.4595,0.6231,0.156,0.304
R3,0,33,2494,2151,20251225_105941.jpg,2992,2992,0.4398213606916312,0.7086784679327668,0.1638212155922033,,RED_white_blue_led_ids,R3,R,1.23,0.03,0.3323,0.481,0.12,0.212
R4,211,0,2399,2349,20251225_110017.jpg,2992,2992,0.5129408477716759,0.7413057852492216,0.1662239985236269,,RED_white_blue_led_ids,R4,R,1.48,0.03,0.7471,1.1488,0.287,0.46
R5,54,17,2671,2110,20251225_110051.jpg,2992,2992,0.322196929826551,0.9153477933869631,0.1762416646028123,,RED_white_blue_led_ids,R5,R,1.0,0.03,0.0444,0.0357,0.009,0.035
G1,277,0,2530,2242,20251225_110519.jpg,2992,2992,0.4159843258810993,0.9760491403770004,0.2140462186437231,,GREEN_white_blue_led_ids,G1,G,1.05,0.03,0.0944,0.2099,0.052,0.042
G2,359,17,2374,2201,20251225_110643.jpg,2992,2992,0.3605274786473648,0.9551066855951964,0.2280941996785399,,GREEN_white_blue_led_ids,G2,G,1.44,0.03,0.1354,0.3956,0.099,0.037
G3,301,66,2366,2324,20251225_110723.jpg,2992,2992,0.4541801324906536,0.9667013694208064,0.206851186087846,,GREEN_white_blue_led_ids,G3,G,1.29,0.03,0.1441,0.3999,0.1,0.044
G4,71,0,2382,2432,20251225_110755.jpg,2992,2992,0.5399551139765913,0.9742906346584028,0.2113984166233742,,GREEN_white_blue_led_ids,G4,G,1.01,0.03,0.0464,0.0395,0.01,0.037
G5,5,0,2316,2077,20251225_110828.jpg,2992,2992,0.5949193315895049,0.9386485738547096,0.19240428363107,,GREEN_white_blue_led_ids,G5,G,1.23,0.03,0.1354,0.2089,0.052,0.083
R6,318,165,2036,2069,20251225_111124.jpg,2992,2992,0.4505466613927031,0.7829222507373751,0.1728843872265518,,RED_white_led_ids,R6,R,1.16,0.03,0.4764,0.898,0.225,0.252
R7,310,280,2357,2234,20251225_111152.jpg,2992,2992,0.3705993095538261,0.8065403831729554,0.1697176539389326,,RED_white_led_ids,R7,R,1.23,0.03,0.3513,0.7048,0.176,0.175
