img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,"NDI_(583.85, 507.56)"
178,R1,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.91248214,0.046082407,0.9224961,0.91248214,1.0046978,3.5169969,0.16724971
178,R2,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.8994088,0.04758016,0.9058518,0.8994088,1.0391688,3.6417127,0.23177083
178,R3,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.90614295,0.043801032,0.91657144,0.90614295,1.0419716,3.6518528,0.17758657
178,G1,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.8712773,0.056932647,0.87944686,0.8712773,0.99176455,3.4702046,0.2903273
178,R6,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.905269,0.043392137,0.9149047,0.905269,0.9834537,3.4401357,0.22991367
178,R7,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.91707903,0.04146955,0.9268351,0.91707903,1.0427123,3.654533,0.21328942
178,R8,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.9102022,0.046934247,0.91923654,0.9102022,1.0758727,3.7745073,0.18854092
178,G6,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.88703114,0.042580996,0.89422035,0.88703114,0.9674137,3.3821027,0.2731815
178,R11,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.88931763,0.041172516,0.900059,0.88931763,0.9404467,3.2845364,0.29138565
178,R12,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.87071675,0.049616255,0.87659585,0.87071675,0.9831174,3.4389188,0.27661318
178,R13,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.8731311,0.05689519,0.88173664,0.8731311,0.9551504,3.337734,0.22157274
178,G11,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.836166,0.051279057,0.8394433,0.836166,0.9575546,3.3464327,0.27020398
178,C1,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.9130834,0.048012305,0.9293438,0.9130834,0.9281518,3.2400532,0.23740348
178,C2,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.9030593,0.047592446,0.91352594,0.9030593,0.9928817,3.474246,0.24020651
178,C3,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.9035929,0.048477873,0.91468585,0.9035929,0.99350184,3.4764895,0.22136131
178,C6,34.91627502,32.02520370,23-12-2025,0.2997398376464844,0.89315194,0.048176788,0.90084606,0.89315194,1.0116953,3.5423136,0.31815213
