,img_num,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,catalog id,light,color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin
0,160,34.91624069,32.02518463,01/12/2025,0.08599472,0.8438341,0.04966232,0.85509133,0.8438341,0.9833514,3.4397655,R1,White and Blue Led,R,0.22,0.03,0.7162,0.107,0.027,0.689
1,160,34.91624069,32.02518463,01/12/2025,0.08599472,0.8157886,0.05677559,0.82840335,0.8157886,0.99501514,3.4819648,G1,White and Blue Led,G,0.3,0.03,0.1833,0.0969,0.024,0.159
2,160,34.91624069,32.02518463,01/12/2025,0.08599472,0.8368417,0.04295208,0.84493047,0.8368417,0.9523118,3.3274639,R6,White Led,R,0.19,0.03,1.305,0.1175,0.029,1.276
3,160,34.91624069,32.02518463,01/12/2025,0.08599472,0.8478129,0.04599344,0.8577403,0.8478129,1.0146949,3.5531662,R11,Shade,R,0.18,0.03,0.5975,0.0988,0.025,0.573
4,160,34.91624069,32.02518463,01/12/2025,0.08599472,0.8106222,0.05586786,0.82414407,0.8106222,1.007623,3.5275798,G6,White Led,,,,,,,
5,160,34.91624069,32.02518463,01/12/2025,0.08599472,0.8107342,0.047183044,0.8194616,0.8107342,1.0384895,3.6392548,C6,Control,,,,,,,
6,160,34.91624069,32.02518463,01/12/2025,0.08599472,0.84088486,0.049550638,0.85311174,0.84088486,1.0075449,3.527297,C1,Control,,,,,,,
7,160,34.91624069,32.02518463,01/12/2025,0.08599472,0.8145579,0.04323713,0.82443416,0.8145579,1.0084629,3.530619,G11,Shade,G,0.26,0.03,0.129,0.0726,0.018,0.111
8,163,34.91619492,32.02517319,01/12/2025,0.080104828,0.84092337,0.052845493,0.85820764,0.84092337,0.97204155,3.3988461,C1,Control,,,,,,,
9,163,34.91619492,32.02517319,01/12/2025,0.080104828,0.83045554,0.042476125,0.8380396,0.83045554,0.9658063,3.376287,R6,White Led,R,0.19,0.03,1.305,0.1175,0.029,1.276
10,163,34.91619492,32.02517319,01/12/2025,0.080104828,0.8102097,0.04886139,0.82186705,0.8102097,0.98968637,3.4626856,G11,Shade,G,0.26,0.03,0.129,0.0726,0.018,0.111
11,163,34.91619492,32.02517319,01/12/2025,0.080104828,0.849051,0.047333825,0.86185837,0.849051,1.0190638,3.5689728,R1,White and Blue Led,R,0.22,0.03,0.7162,0.107,0.027,0.689
12,163,34.91619492,32.02517319,01/12/2025,0.080104828,0.822233,0.057995714,0.8403537,0.822233,0.99273914,3.4737303,G6,White Led,,,,,,,
13,163,34.91619492,32.02517319,01/12/2025,0.080104828,0.857098,0.046775177,0.87150127,0.857098,0.9998935,3.4996145,R11,Shade,R,0.18,0.03,0.5975,0.0988,0.025,0.573
14,163,34.91619492,32.02517319,01/12/2025,0.080104828,0.8255897,0.0534666,0.8425006,0.8255897,0.97660583,3.41536,G1,White and Blue Led,G,0.3,0.03,0.1833,0.0969,0.024,0.159
