label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,huePlantMean,satPlantMean,valPlantMean,huePlantStd,satPlantStd,valPlantStd,huePlantMedian,satPlantMedian,valPlantMedian
R1,524,74,2077,2201,20251225_105832.jpg,2992,2992,0.16112309464987462,0.6428223969940826,0.47921368563138866,0.03508199636518098,0.30775233834382065,0.17424973721279705,0.16006600660066003,0.6138613861386139,0.4823529411764706
R2,244,0,2366,2225,20251225_105858.jpg,2992,2992,0.16582341885333562,0.6504759451303371,0.4768461107858197,0.03501244325070179,0.3031626436879536,0.163682656856019,0.1701149425287356,0.6328125,0.4666666666666667
R3,0,33,2494,2151,20251225_105941.jpg,2992,2992,0.15661444484425352,0.6860834365859629,0.5044049085658024,0.03269801353153672,0.2918511163935594,0.14685691658004144,0.15952380952380954,0.7065217391304347,0.4980392156862745
R4,211,0,2399,2349,20251225_110017.jpg,2992,2992,0.15480329297032558,0.7122994675530029,0.5338192572512491,0.03282919953284909,0.2707430603274211,0.12066613799689414,0.15887850467289721,0.763157894736842,0.5372549019607843
R5,54,17,2671,2110,20251225_110051.jpg,2992,2992,0.16850284663806075,0.8540259035933435,0.4663184383179365,0.029545316521531823,0.21527018751991134,0.15374491561317136,0.1714285714285714,1.0,0.4588235294117647
G1,277,0,2530,2242,20251225_110519.jpg,2992,2992,0.19796741414463162,0.9848291257328388,0.5927394159117302,0.017786998635722178,0.04963396591340979,0.09855639972225541,0.1958333333333333,1.0,0.6
G2,359,17,2374,2201,20251225_110643.jpg,2992,2992,0.20709265792389958,0.9834440021961438,0.5657718452453554,0.027295789075040953,0.058896730202152844,0.16719444346160914,0.20149253731343286,1.0,0.580392156862745
G3,301,66,2366,2324,20251225_110723.jpg,2992,2992,0.19599587075201744,0.967045968690632,0.6033971270381696,0.01810262414028759,0.07891566810499431,0.13518932955123622,0.1937984496124031,1.0,0.615686274509804
G4,71,0,2382,2432,20251225_110755.jpg,2992,2992,0.20535885629289022,0.9721077145828156,0.5792972457563528,0.025594650427307533,0.07147712933025714,0.1478502599413323,0.20103092783505158,1.0,0.6078431372549019
G5,5,0,2316,2077,20251225_110828.jpg,2992,2992,0.18692501939567138,0.9657395659549053,0.6031075916883847,0.020713008705326386,0.0688149372633973,0.13890596254772214,0.1828358208955224,1.0,0.6078431372549019
R6,318,165,2036,2069,20251225_111124.jpg,2992,2992,0.1672309967671803,0.7917935284958438,0.44667289338445804,0.028407684835871305,0.22551147208026986,0.13495616598771526,0.17010309278350513,0.8833333333333333,0.4392156862745098
R7,310,280,2357,2234,20251225_111152.jpg,2992,2992,0.15090799230818003,0.7325625991781612,0.4215449217998616,0.03595441529435443,0.27437561229580004,0.147430665016936,0.1543859649122807,0.7985611510791367,0.4
R8,87,8,2448,2324,20251225_111229.jpg,2992,2992,0.1755989602488497,0.8844796810984502,0.5057064448954464,0.028353935435388552,0.17986555361105172,0.15269515304455938,0.17769607843137256,1.0,0.49411764705882355
R9,277,17,2407,2341,20251225_111259.jpg,2992,2992,0.17635448874855747,0.8152884682254278,0.49763687459077693,0.03353967047173607,0.2275383128292047,0.16297723152091803,0.17460317460317457,0.9855769230769231,0.49019607843137253
R10,367,8,2481,2258,20251225_111326.jpg,2992,2992,0.1684003420315487,0.7566770095112492,0.4760926043286265,0.03674116782752492,0.26116822385970806,0.15978867933911445,0.16913580246913576,0.8541666666666666,0.4823529411764706
G6,269,17,2382,2217,20251225_111852.jpg,2992,2992,0.19563233066702274,0.9851695201363534,0.6026453794788934,0.01984654814226054,0.048068491197783565,0.11943757810003927,0.192090395480226,1.0,0.6196078431372549
G7,565,354,2250,2464,20251225_111920.jpg,2992,2992,0.2034419207180965,0.9510317995780752,0.5944133382229618,0.021368989184697887,0.09953719897605907,0.14081237254081608,0.1997126436781609,1.0,0.6235294117647059
G8,870,322,2110,2201,20251225_111942.jpg,2992,2992,0.20592510382499613,0.9498900069545584,0.555828945665433,0.02688627424952308,0.1024385904045709,0.16775869170727187,0.20246085011185685,1.0,0.5647058823529412
G9,508,17,2481,2530,20251225_112007.jpg,2992,2992,0.20365055050716302,0.9740542493253255,0.6086782013711661,0.021734826624288488,0.07800482069335099,0.11705867569378951,0.20231213872832368,1.0,0.6313725490196078
G10,236,8,2456,2390,20251225_112036.jpg,2992,2992,0.20169055855242424,0.9727727643037984,0.6170299706945688,0.020596782909617205,0.060157426794685546,0.0953550998115881,0.19892473118279572,1.0,0.6274509803921569
R11,62,17,2778,2506,20251225_112257.jpg,2992,2992,0.18105812021284495,0.8732837570511691,0.5368328306952994,0.027112345450023334,0.18214381798085066,0.13385894137371437,0.17759562841530055,1.0,0.5294117647058824
R12,0,25,2585,2522,20251225_112325.jpg,2992,2992,0.1896452012791734,0.9005390082824237,0.5692463169562344,0.02742820332566022,0.15217417945712852,0.08822357949462051,0.18402777777777782,0.9933333333333334,0.5764705882352941
R13,194,74,2563,2530,20251225_112347.jpg,2992,2992,0.18131101576057682,0.9467581617139647,0.5531143002957466,0.020471186674975977,0.10912491196653083,0.13333357081122404,0.18065268065268067,1.0,0.5568627450980392
R14,0,0,2914,2473,20251225_112427.jpg,2992,2992,0.17375309786336998,0.9074787105912262,0.5079943335890427,0.028748575325143747,0.16567764993395986,0.13758106476802506,0.17337164750957856,1.0,0.4980392156862745
R15,21,25,2893,2588,20251225_112509.jpg,2992,2992,0.1691444491606038,0.8155048864766437,0.5888786504814701,0.027857752633286426,0.2223670263478409,0.1067073662667765,0.16954022988505746,0.9527027027027026,0.596078431372549
G11,524,0,2225,2448,20251225_112805.jpg,2992,2992,0.19546881613949582,0.9916282568450875,0.6294813841557888,0.022439751575807475,0.027676604596866494,0.11179815521457825,0.19047619047619047,1.0,0.6431372549019607
G12,38,17,2588,2349,20251225_112834.jpg,2992,2992,0.1933816927676927,0.9862385646820461,0.5979161768992612,0.02334619490104537,0.04320054092408216,0.10026997016282836,0.1892230576441103,1.0,0.615686274509804
G13,458,8,2316,2481,20251225_112907.jpg,2992,2992,0.20204759439693368,0.9907945432880544,0.5845272187052251,0.029545833632078307,0.032590613555086044,0.14917985186194738,0.1954954954954955,1.0,0.6039215686274509
G14,87,379,2646,2135,20251225_112932.jpg,2992,2992,0.19876916224111219,0.9749732826475669,0.5330389934638808,0.023838047030619404,0.0387045757446569,0.12529514541473555,0.1941176470588235,0.9936305732484076,0.5529411764705883
G15,392,17,2357,1879,20251225_112955.jpg,2992,2992,0.20048302549038557,0.9829334077215355,0.5843096667066854,0.02154759586316299,0.04209534368929311,0.1603455255488796,0.19767441860465115,1.0,0.6078431372549019
C1,161,17,2831,2704,20251225_113253.jpg,2992,2992,0.1407641364081165,0.76358730405111,0.44424707879059366,0.03299189709599238,0.253539808511167,0.1621266013246369,0.13588110403397027,0.8305084745762712,0.4549019607843137
C2,0,0,2992,2555,20251225_113320.jpg,2992,2992,0.14604309068035098,0.7826102553151222,0.4823859603989152,0.034757081270732085,0.24892392935244037,0.14517328231192667,0.1439393939393939,0.9078014184397163,0.4823529411764706
C3,236,8,2756,2415,20251225_113353.jpg,2992,2992,0.1448583230481386,0.7572643758911084,0.5273147795933221,0.034371518640396795,0.23047212543393078,0.16261389403411727,0.14102564102564105,0.7790697674418604,0.5333333333333333
C4,458,66,2530,2514,20251225_113420.jpg,2992,2992,0.14581832922491855,0.769006734666058,0.477312048166526,0.035998995682447736,0.23092984857170676,0.15661647353410538,0.14327485380116958,0.8,0.47058823529411764
C5,491,8,2501,2687,20251225_113456.jpg,2992,2992,0.13699403589148001,0.789119097279396,0.4026253793972229,0.038471201273364904,0.240041776916355,0.15508537171825978,0.1311111111111111,0.8962962962962963,0.396078431372549
C6,120,0,2621,2366,20251225_113803.jpg,2992,2992,0.1920856028527101,0.9809433407091435,0.6285594618030862,0.021669032843404556,0.050783479749617506,0.10577632319872853,0.18864468864468864,1.0,0.6470588235294118
C7,194,17,2563,2357,20251225_113832.jpg,2992,2992,0.19202282828334996,0.9946181832174119,0.5986856708641568,0.02070830536225012,0.02566614539340599,0.13062143955371858,0.18562874251497005,1.0,0.6274509803921569
C8,170,17,2704,2399,20251225_113901.jpg,2992,2992,0.19659055403378534,0.9935966010044606,0.6041269575915279,0.02236829340177921,0.022915850409135633,0.14403562742816436,0.19140625,1.0,0.6431372549019607
C9,137,17,2448,2390,20251225_113924.jpg,2992,2992,0.20357347160882544,0.9934591814702355,0.6200696148490661,0.022252211994539993,0.026655515032158184,0.09894329384908397,0.20251937984496124,1.0,0.6352941176470588
C10,13,0,2979,2547,20251225_113955.jpg,2992,2992,0.19616023185071707,0.9944372716595684,0.6205906429611827,0.020748701642949743,0.0240746201806351,0.10703852526706481,0.19393939393939394,1.0,0.6352941176470588
