img_num,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,NDI_df,catalog id,light,color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin
161,34.91622543,32.02519608,01/12/2025,0.08392334,0.8457907,0.048203964,0.85633874,0.8457907,0.98533636,3.446947,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_161_1765445557.4868815.csv,R1,White and Blue Led,R,0.22,0.03,0.7162,0.107,0.027,0.689
161,34.91622543,32.02519608,01/12/2025,0.08392334,0.8453792,0.045393948,0.8594801,0.8453792,0.9808037,3.430548,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_161_1765445620.4012587.csv,C1,Control,R,0.23,0.03,0.6346,0.0947,0.024,0.611
161,34.91622543,32.02519608,01/12/2025,0.08392334,0.82446414,0.049101803,0.833028,0.82446414,1.033408,3.6208706,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_161_1765445684.3155656.csv,C6,Control,G,0.55,0.03,0.1359,0.0744,0.019,0.117
161,34.91622543,32.02519608,01/12/2025,0.08392334,0.84614,0.03510308,0.8525877,0.84614,0.9504532,3.3207397,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_161_1765445747.6745348.csv,R6,White Led,R,0.19,0.03,1.305,0.1175,0.029,1.276
161,34.91622543,32.02519608,01/12/2025,0.08392334,0.8229744,0.046115737,0.8325918,0.8229744,0.99474484,3.4809868,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_161_1765445811.1136527.csv,G11,Shade,G,0.26,0.03,0.129,0.0726,0.018,0.111
162,34.91620255,32.02521515,01/12/2025,0.076473236,0.8123235,0.04510127,0.824468,0.8123235,1.0306269,3.6108081,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_162_1765445909.129324.csv,G11,Shade,G,0.26,0.03,0.129,0.0726,0.018,0.111
162,34.91620255,32.02521515,01/12/2025,0.076473236,0.84077394,0.056578986,0.8575579,0.84077394,1.0129302,3.5467813,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_162_1765445975.465784.csv,R1,White and Blue Led,R,0.22,0.03,0.7162,0.107,0.027,0.689
162,34.91620255,32.02521515,01/12/2025,0.076473236,0.8228557,0.052069243,0.8323897,0.8228557,1.0411385,3.6488395,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_162_1765446042.6457655.csv,C6,Control,G,0.55,0.03,0.1359,0.0744,0.019,0.117
162,34.91620255,32.02521515,01/12/2025,0.076473236,0.8383302,0.0451447,0.85060775,0.8383302,0.97818923,3.421089,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_162_1765446108.197463.csv,R6,White Led,R,0.19,0.03,1.305,0.1175,0.029,1.276
162,34.91620255,32.02521515,01/12/2025,0.076473236,0.82885206,0.053683966,0.8478634,0.82885206,1.0050031,3.518101,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_162_1765446174.2693949.csv,G1,White and Blue Led,G,0.3,0.03,0.1833,0.0969,0.024,0.159
162,34.91620255,32.02521515,01/12/2025,0.076473236,0.8117073,0.057224,0.8309288,0.8117073,0.9900158,3.4638772,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_162_1765446240.1217585.csv,G6,White Led,,,,,,,
162,34.91620255,32.02521515,01/12/2025,0.076473236,0.85267437,0.049921136,0.8675006,0.85267437,1.0269415,3.5974748,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_162_1765446306.0264637.csv,R11,Shade,R,0.18,0.03,0.5975,0.0988,0.025,0.573
162,34.91620255,32.02521515,01/12/2025,0.076473236,0.83265215,0.054312382,0.85165215,0.83265215,0.9587574,3.3507843,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_162_1765446371.3640676.csv,C1,Control,R,0.23,0.03,0.6346,0.0947,0.024,0.611
165,34.91619492,32.02518845,01/12/2025,0.084526062,0.82401985,0.055914756,0.84209573,0.82401985,1.055309,3.700108,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_165_1765446467.3724148.csv,C6,Control,G,0.55,0.03,0.1359,0.0744,0.019,0.117
165,34.91619492,32.02518845,01/12/2025,0.084526062,0.80634546,0.045533575,0.8153216,0.80634546,1.0135446,3.5490043,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_165_1765446530.5204954.csv,G11,Shade,G,0.26,0.03,0.129,0.0726,0.018,0.111
165,34.91619492,32.02518845,01/12/2025,0.084526062,0.84201837,0.060903117,0.8579102,0.84201837,0.98137623,3.432619,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_165_1765446593.9179862.csv,R1,White and Blue Led,R,0.22,0.03,0.7162,0.107,0.027,0.689
165,34.91619492,32.02518845,01/12/2025,0.084526062,0.859437,0.045361087,0.8704961,0.859437,1.0399722,3.6446195,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_165_1765446657.3556006.csv,R11,Shade,R,0.18,0.03,0.5975,0.0988,0.025,0.573
165,34.91619492,32.02518845,01/12/2025,0.084526062,0.8189627,0.052299254,0.83700144,0.8189627,0.9853694,3.4470663,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_165_1765446729.553475.csv,G1,White and Blue Led,G,0.3,0.03,0.1833,0.0969,0.024,0.159
165,34.91619492,32.02518845,01/12/2025,0.084526062,0.8427334,0.039405875,0.8492012,0.8427334,0.977598,3.4189496,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_165_1765446798.8266504.csv,R6,White Led,R,0.19,0.03,1.305,0.1175,0.029,1.276
165,34.91619492,32.02518845,01/12/2025,0.084526062,0.8251004,0.054359443,0.8388434,0.8251004,0.9981496,3.4933047,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_165_1765446868.4354396.csv,G6,White Led,,,,,,,
165,34.91619492,32.02518845,01/12/2025,0.084526062,0.8382012,0.049054865,0.8492184,0.8382012,0.9567803,3.3436308,ndi_tables/ndi_tables_for_Anthocyanin_BENI_ATAROT_2025-12-05/ndi_table_of_img_165_1765446937.1002996.csv,C1,Control,R,0.23,0.03,0.6346,0.0947,0.024,0.611
