label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,valPlantMean,satPlantMean,huePlantMean,plantBinImg
R1,524,74,2077,2201,20251225_105832.jpg,2992,2992,0.40986710595372833,0.6977338488996548,0.16808007969508476,
R2,244,0,2366,2225,20251225_105858.jpg,2992,2992,0.4228712466908341,0.6740238525671879,0.17268598681908556,
R3,0,33,2494,2151,20251225_105941.jpg,2992,2992,0.4398213606916312,0.7086784679327668,0.16382121559220336,
R4,211,0,2399,2349,20251225_110017.jpg,2992,2992,0.5129408477716759,0.7413057852492216,0.1662239985236269,
R5,54,17,2671,2110,20251225_110051.jpg,2992,2992,0.322196929826551,0.9153477933869631,0.17624166460281235,
G1,277,0,2530,2242,20251225_110519.jpg,2992,2992,0.41598432588109935,0.9760491403770004,0.21404621864372317,
G2,359,17,2374,2201,20251225_110643.jpg,2992,2992,0.3605274786473648,0.9551066855951963,0.2280941996785399,
G3,301,66,2366,2324,20251225_110723.jpg,2992,2992,0.45418013249065364,0.9667013694208065,0.20685118608784603,
G4,71,0,2382,2432,20251225_110755.jpg,2992,2992,0.5399551139765913,0.9742906346584028,0.21139841662337422,
G5,5,0,2316,2077,20251225_110828.jpg,2992,2992,0.5949193315895049,0.9386485738547096,0.19240428363107,
R6,318,165,2036,2069,20251225_111124.jpg,2992,2992,0.45054666139270316,0.7829222507373751,0.1728843872265518,
R7,310,280,2357,2234,20251225_111152.jpg,2992,2992,0.37059930955382614,0.8065403831729554,0.16971765393893268,
R8,87,8,2448,2324,20251225_111229.jpg,2992,2992,0.43040683073796676,0.893050003083598,0.17847298782656965,
R9,277,17,2407,2341,20251225_111259.jpg,2992,2992,0.4277358623827244,0.8188831109945325,0.18190959062349618,
R10,367,8,2481,2258,20251225_111326.jpg,2992,2992,0.4153975349879956,0.7710791241853856,0.17464918051509237,
G6,269,17,2382,2217,20251225_111852.jpg,2992,2992,0.4400493872594852,0.970620207080183,0.21089399052555605,
G7,565,354,2250,2464,20251225_111920.jpg,2992,2992,0.377885221946463,0.9585513167258041,0.22338824362758658,
G8,870,322,2110,2201,20251225_111942.jpg,2992,2992,0.3626913228335344,0.9927091172136312,0.21993435676422327,
G9,508,17,2481,2530,20251225_112007.jpg,2992,2992,0.605289758551513,0.9553254884530897,0.2059717153902825,
G10,236,8,2456,2390,20251225_112036.jpg,2992,2992,0.425363121539937,0.9426428234123544,0.22006263407832943,
R11,62,17,2778,2506,20251225_112257.jpg,2992,2992,0.4743521343683539,0.8847642382089227,0.18464007656799872,
R12,0,25,2585,2522,20251225_112325.jpg,2992,2992,0.5143207832203872,0.9453643137431115,0.19653988622563656,
R13,194,74,2563,2530,20251225_112347.jpg,2992,2992,0.3944827322875972,0.9148444039514838,0.18301571924347435,
R14,0,0,2914,2473,20251225_112427.jpg,2992,2992,0.504935440333994,0.8892967666997486,0.1750544260122373,
R15,21,25,2893,2588,20251225_112509.jpg,2992,2992,0.5105881305510638,0.8420770124947742,0.17589892538429364,
G11,524,0,2225,2448,20251225_112805.jpg,2992,2992,0.5833856195131158,0.9870837663661064,0.2016265202827287,
G12,38,17,2588,2349,20251225_112834.jpg,2992,2992,0.33957439158925107,0.8344377256071209,0.2189918158252461,
G13,458,8,2316,2481,20251225_112907.jpg,2992,2992,0.5676284017930542,0.9679688693118761,0.20708038196958237,
G14,87,379,2646,2135,20251225_112932.jpg,2992,2992,0.5286391833543801,0.9607276398079428,0.2056627923180491,
G15,392,17,2357,1879,20251225_112955.jpg,2992,2992,0.49163213718043575,0.979540777975438,0.20859355162709822,
C1,161,17,2831,2704,20251225_113253.jpg,2992,2992,0.2611590677168292,0.9042027164093305,0.21191571119735997,
C2,0,0,2992,2555,20251225_113320.jpg,2992,2992,0.41398309148821266,0.8585395344923397,0.17253837553913856,
C3,236,8,2756,2415,20251225_113353.jpg,2992,2992,0.4763016478085717,0.7593709699472031,0.15312520071731964,
C4,458,66,2530,2514,20251225_113420.jpg,2992,2992,0.36356859555487003,0.8857382590167663,0.19176883854744492,
C5,491,8,2501,2687,20251225_113456.jpg,2992,2992,0.3704262503585234,0.8265715429783663,0.16448015799815732,
C6,120,0,2621,2366,20251225_113803.jpg,2992,2992,0.39499287488702567,0.9281769592876538,0.21964611449523036,
C7,194,17,2563,2357,20251225_113832.jpg,2992,2992,0.5974708096960241,0.9829799145042026,0.193675974518966,
C8,170,17,2704,2399,20251225_113901.jpg,2992,2992,0.42192626625281376,0.957381589220974,0.2156676167963516,
C9,137,17,2448,2390,20251225_113924.jpg,2992,2992,0.6167801554897824,0.9764296270204464,0.20555474995314632,
C10,13,0,2979,2547,20251225_113955.jpg,2992,2992,0.40733509674305735,0.8826564565134447,0.21200876141512215,
