label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,valPlantMean,satPlantMean,huePlantMean,plantBinImg,category,catalog id,color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin
R1,186,140,1747,1418,20251207_141612.jpg,2992,2992,0.214881532444976,0.7740660707435659,0.1604700767296171,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_white_blue_led_ids,R1,R,0.27,0.03,0.5207,0.7561,0.189,0.332
R2,0,99,1538,1657,20251207_141728.jpg,2992,2992,0.1726507231974691,0.6994066296118648,0.1417848114826495,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_white_blue_led_ids,R2,R,0.16,0.03,0.6154,0.6725,0.168,0.447
R3,425,132,1599,1484,20251207_141814.jpg,2992,2992,0.1595791644717125,0.5809619204182664,0.1484376106849835,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_white_blue_led_ids,R3,R,0.13,0.03,0.8439,0.4231,0.106,0.738
R4,252,190,1525,1533,20251207_141839.jpg,2992,2992,0.2389908614472219,0.3885858563557618,0.1330357175960901,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_white_blue_led_ids,R4,R,0.26,0.03,0.6931,0.7705,0.193,0.5
R5,219,50,1698,1517,20251207_141906.jpg,2992,2992,0.2338797355897665,0.3820208515304876,0.1485469159848553,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_white_blue_led_ids,R5,R,0.27,0.03,0.5661,0.7224,0.181,0.386
G1,491,50,1681,1739,20251207_142441.jpg,2992,2992,0.3360617944121478,0.8346107044240142,0.2160794798623754,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_white_blue_led_ids,G1,G,0.72,0.03,0.1561,0.4924,0.123,0.033
G2,351,387,1657,1665,20251207_142615.jpg,2992,2992,0.3541797537689852,0.7448927122041709,0.2089357572553393,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_white_blue_led_ids,G2,G,0.27,0.03,0.1625,0.4995,0.125,0.038
G3,433,0,1484,1475,20251207_142834.jpg,2992,2992,0.3660495538383305,0.811700408548654,0.2087393945047276,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_white_blue_led_ids,G3,G,0.4,0.03,0.1741,0.5582,0.14,0.035
G4,46,585,1401,1385,20251207_142946.jpg,2992,2992,0.3206327684173371,0.8963373929330879,0.1982807900481894,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_white_blue_led_ids,G4,G,0.61,0.03,0.1773,0.5863,0.147,0.031
G5,359,33,1500,1418,20251207_143054.jpg,2992,2992,0.3141178272070083,0.741053028905702,0.1975660939646712,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_white_blue_led_ids,G5,G,0.6,0.03,0.1895,0.6289,0.157,0.032
R6,747,256,1245,1253,20251207_143358.jpg,2992,2992,0.2304839532514797,0.3299788908342711,0.134568326534141,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_white_led_ids,R6,R,0.2,0.03,0.5122,0.4783,0.12,0.393
R7,409,115,1591,1566,20251207_143452.jpg,2992,2992,0.2557340020187108,0.6094049597661481,0.1324023591668029,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_white_led_ids,R7,R,0.25,0.03,0.5503,0.8727,0.218,0.332
R8,0,0,2057,1665,20251207_143606.jpg,2992,2992,0.2425089390402903,0.6439953381903503,0.1482748078016518,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_white_led_ids,R8,R,0.76,0.03,0.4176,0.7953,0.199,0.219
R9,219,41,1657,1599,20251207_143703.jpg,2992,2992,0.3088714074867274,0.3125792065725086,0.111627956054911,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_white_led_ids,R9,R,0.27,0.03,0.4936,0.7913,0.198,0.296
R10,161,272,1673,1492,20251207_143753.jpg,2992,2992,0.1874424943471651,0.6723858406983944,0.1523953298824155,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_white_led_ids,R10,R,0.31,0.03,0.4782,0.8527,0.213,0.265
G6,104,99,1830,1962,20251207_144122.jpg,2992,2992,0.3705667049336353,0.9155951223145852,0.1979667063876838,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_white_led_ids,G6,G,0.37,0.03,0.1512,0.4618,0.115,0.036
G7,285,140,1888,1879,20251207_144357.jpg,2992,2992,0.3545711776303595,0.921518645227049,0.2010609118876643,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_white_led_ids,G7,G,0.31,0.03,0.1854,0.5649,0.141,0.044
G8,392,17,2011,1871,20251207_144451.jpg,2992,2992,0.3580792401195971,0.9479647786986096,0.2009418603331938,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_white_led_ids,G8,G,0.74,0.03,0.1327,0.3839,0.096,0.037
G9,29,379,2077,1789,20251207_144545.jpg,2992,2992,0.3833932594173586,0.9431735968155976,0.1938013977778235,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_white_led_ids,G9,G,0.27,0.03,0.1345,0.3986,0.1,0.035
G10,5,214,1731,1805,20251207_144636.jpg,2992,2992,0.4187847525345209,0.9569638827260564,0.1888164570925227,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",GREEN_white_led_ids,G10,G,0.34,0.03,0.1494,0.4207,0.105,0.044
R11,351,50,1599,1673,20251207_144921.jpg,2992,2992,0.2665199582649956,0.8638218836640098,0.1738452500464377,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_Shade_ids,R11,R,0.28,0.03,0.3036,0.5977,0.149,0.202
R12,384,17,1681,1789,20251207_145032.jpg,2992,2992,0.2786566209380619,0.8827763868727412,0.1746823490379746,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_Shade_ids,R12,R,0.26,0.03,0.351,0.7063,0.177,0.292
R13,260,330,1616,1616,20251207_145122.jpg,2992,2992,0.2374230854114782,0.8430888181470482,0.1678219072325435,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_Shade_ids,R13,R,0.28,0.03,0.469,0.8322,0.208,0.164
R14,54,486,1657,1508,20251207_145219.jpg,2992,2992,0.2897025218519483,0.8575117802985999,0.1686490264176867,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",RED_Shade_ids,R14,R,0.21,0.03,0.3723,0.6947,0.174,0.199
