Lettuce color,catalog id,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
RED,R1,0.41,0.03,1.172,0.676,0.169,1.003,05/02/2026,White+Blue LED
RED,R2,0.77,0.03,0.7968,1.0202,0.255,0.542,05/02/2026,White+Blue LED
RED,R3,0.81,0.03,0.9161,1.0121,0.253,0.663,05/02/2026,White+Blue LED
RED,R4,0.33,0.03,0.893,0.9543,0.239,0.654,05/02/2026,White+Blue LED
RED,R5,0.35,0.03,1.2819,0.8524,0.213,1.069,05/02/2026,White+Blue LED
RED,R6,0.41,0.03,1.0707,0.9849,0.246,0.824,05/02/2026,White LED
RED,R7,0.6,0.03,1.0198,1.1908,0.298,0.722,05/02/2026,White LED
RED,R8,0.75,0.03,1.318,1.0201,0.255,1.063,05/02/2026,White LED
RED,R9,0.39,0.03,1.3738,0.9998,0.25,1.124,05/02/2026,White LED
RED,R10,0.31,0.03,1.7297,1.118,0.28,1.45,05/02/2026,White LED
RED,R11,0.35,0.03,1.3303,1.1203,0.28,1.05,05/02/2026,Shade
RED,R12,0.51,0.03,0.7855,1.1492,0.287,0.498,05/02/2026,Shade
RED,R13,0.33,0.03,1.6396,0.9694,0.242,1.397,05/02/2026,Shade
RED,R14,0.3,0.03,1.3747,0.9608,0.24,1.135,05/02/2026,Shade
RED,R15,0.29,0.03,1.8254,0.9992,0.25,1.576,05/02/2026,Shade
GREEN,G1,1.85,0.03,0.3696,1.2684,0.317,0.053,05/02/2026,White+Blue LED
GREEN,G2,1.77,0.03,0.3599,1.2457,0.311,0.048,05/02/2026,White+Blue LED
GREEN,G3,1.93,0.03,0.3238,1.0911,0.273,0.051,05/02/2026,White+Blue LED
GREEN,G4,1.02,0.03,0.623,1.601,0.4,0.223,05/02/2026,White+Blue LED
GREEN,G5,0.93,0.03,0.2541,0.8175,0.204,0.05,05/02/2026,White+Blue LED
GREEN,G6,2.26,0.03,0.3094,1.0511,0.263,0.047,05/02/2026,White LED
GREEN,G7,1.98,0.03,0.2159,0.6812,0.17,0.046,05/02/2026,White LED
GREEN,G8,1.96,0.03,0.2167,0.7025,0.176,0.041,05/02/2026,White LED
GREEN,G9,1.44,0.03,0.2669,0.8607,0.215,0.052,05/02/2026,White LED
GREEN,G10,1.99,0.03,0.2218,0.7207,0.18,0.042,05/02/2026,White LED
GREEN,G11,1.06,0.03,0.1828,0.5592,0.14,0.043,05/02/2026,Shade
GREEN,G12,0.76,0.03,0.1959,0.626,0.157,0.039,05/02/2026,Shade
GREEN,G13,1.36,0.03,0.187,0.5587,0.14,0.047,05/02/2026,Shade
GREEN,G14,0.47,0.03,0.1743,0.5371,0.134,0.04,05/02/2026,Shade
GREEN,G15,0.7,0.03,0.1915,0.5727,0.143,0.048,05/02/2026,Shade
RED,C1,0.46,0.03,1.0863,0.8226,0.206,0.881,05/02/2026,Control-Sun
RED,C2,0.35,0.03,1.1237,0.7602,0.19,0.934,05/02/2026,Control-Sun
RED,C3,0.38,0.03,1.0479,0.602,0.151,0.897,05/02/2026,Control-Sun
RED,C4,0.42,0.03,0.9242,0.6501,0.163,0.762,05/02/2026,Control-Sun
RED,C5,0.48,0.03,1.1697,0.649,0.162,1.007,05/02/2026,Control-Sun
GREEN,C6,0.8,0.03,0.1936,0.5964,0.149,0.045,05/02/2026,Control-Sun
GREEN,C7,1.62,0.03,0.1823,0.5704,0.143,0.04,05/02/2026,Control-Sun
GREEN,C8,0.78,0.03,0.1946,0.5716,0.143,0.052,05/02/2026,Control-Sun
GREEN,C9,1.54,0.03,0.2088,0.6476,0.162,0.047,05/02/2026,Control-Sun
GREEN,C10,1.46,0.03,0.2559,0.748,0.187,0.069,05/02/2026,Control-Sun
